model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Kia,2020,82940.0,белый,3000.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.6,9.8,Южная Корея ,D ,210.0,Euro 5 ,2320000.0,4.9,3180.0,16588.0
Mitsubishi,2010,182813.0,голубой,2800.0,вариатор,передний,3 или более,1.8,140.0,бензиновый ,АИ-95 ,13.1,7.6,Япония ,C ,186.0,Euro 4 ,1050000.0,4.222222222222222,3301.2,12187.533333333333
Renault,2020,80000.0,красный,2280.0,вариатор,передний,1 владелец,1.6,114.0,бензиновый ,АИ-95 ,15.2,6.9,Франция ,C ,172.0,Euro 5 ,1450000.0,4.3125,2772.48,16000.0
Kia,2016,200000.0,белый,8000.0,автоматическая,полный,2 владельца,2.2,200.0,дизельный ,ДТ ,9.6,7.8,Южная Корея ,D ,203.0,Euro 6 ,2550000.0,3.545454545454545,4224.0,22222.222222222223
Land,2013,129989.0,белый,3000.0,автоматическая,полный,3 или более,2.2,150.0,дизельный ,ДТ ,11.2,7.0,Великобритания ,C ,181.0,Euro 5 ,1880000.0,3.1818181818181817,3695.9999999999995,10832.416666666666
Audi,2015,103960.0,белый,7600.0,роботизированная,передний,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,7.3,4.8,Германия ,D ,210.0,Euro 6 ,2200000.0,2.4,2774.0,10396.0
Ford,2018,82919.0,белый,2100.0,механическая,передний,2 владельца,1.6,105.0,бензиновый ,АИ-95 ,12.5,6.0,США ,C ,180.0,Euro 5 ,1120000.0,3.75,2100.0,11845.57142857143
Skoda,2019,69000.0,белый,2200.0,автоматическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,11.6,6.1,Чехия ,B ,191.0,Euro 5 ,1270000.0,3.8124999999999996,2041.6,11500.0
Land,2013,155155.0,белый,18675.0,автоматическая,полный,3 или более,3.0,249.0,дизельный ,ДТ ,9.3,8.8,Великобритания ,J ,180.0,Euro 5 ,2899000.0,2.9333333333333336,6947.1,12929.583333333334
Haval,2023,6100.0,белый,7600.0,роботизированная,полный,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,9.0,8.4,Китай ,C ,195.0,Euro 5 ,2600000.0,4.2,3420.0,3050.0
